track_name,artist_name,album_name,duration_minutes,spotify_url
Beautiful Agony - Instrumental,Within The Ruins,Trilogy (Instrumental versions of Elite - Phenomena - Halfway Human),4:28,https://open.spotify.com/track/02b5ClKaIiHvFBtKZTQyse
Inexhaustible Savagery,Conquering Dystopia,Conquering Dystopia,4:05,https://open.spotify.com/track/22emo3taK1vd0ZtVJG8Uxo
Dark Technology,Ambience Mastery,Cyberpunk City Night Ambience,5:14,https://open.spotify.com/track/3Vt4FXrBltVdr1Pjcik5nd
Experimental Dark Ambient Cellos,Rafael Krux,Experimental Dark Ambient Cellos,2:45,https://open.spotify.com/track/761F82V78gykTirxID9OMJ
Dystopia,Mike McKee,Dystopia,2:17,https://open.spotify.com/track/4glaM5zsDm8rTkWY6u4AQr
Dystopian Future,Shredder 1984,Dystopian Future,4:06,https://open.spotify.com/track/4sySfS4tpe0gqdPvoFs99U
Onyx,Apocryphos,Onyx,6:24,https://open.spotify.com/track/3nR3JrWpvUldgld0pFBBZq
Dystopia Foretold,Andromida,Dystopia Foretold,4:03,https://open.spotify.com/track/58PQ2am5WAFcD5dhbVoZti
And That's All It Is,Blake Rules,"Beautiful Instrumentals for a Dystopian Future, Vol. 2",2:18,https://open.spotify.com/track/4w6vxfFp5f5lTZe2q9nyMv
Destroyer of Dreams,Conquering Dystopia,Conquering Dystopia,7:36,https://open.spotify.com/track/56VxAyetkq7JqgAU8NxQLz
Obliteration,Gothic Storm,Gothic Action,2:08,https://open.spotify.com/track/7hZXpdzpTbu1fPd3amClIw
(Ambience III),Phoenix Glendinning,Leaving Lyndow (Original Soundtrack),2:07,https://open.spotify.com/track/1yfXp4b2nyOHHPO16tTg2H
Ashes of Lesser Men,Conquering Dystopia,Conquering Dystopia,5:35,https://open.spotify.com/track/09F9ERsvgwC4Kel6f9VAX1
Dystopia,Introversion,Dystopia,7:29,https://open.spotify.com/track/5mzyoLBsWbpU1yjQnSrVz2
