track_name,artist_name,album_name,duration_minutes,spotify_url
Bridge of Despair,Ambient Realms,"Massive Ambient Music, Vol. 4",9:49,https://open.spotify.com/track/3r1U04ORFZiBPt6mVfMXJW
Wonders of the East,Ambient Realms,"Massive Ambient Music, Vol. 2",3:10,https://open.spotify.com/track/4xXvF2dDTZgoGoQYDDScE6
Epic Hope,StereojamMusic,Epic Uplifting Music,1:48,https://open.spotify.com/track/79OPDT196wnKzFqXj1OOpM
Helios,Epic North,Skygate,2:55,https://open.spotify.com/track/04PX9eUqr5RoktB2hwPW4S
Epic Adventure,makesound music,Epic Dramatic Adventure,2:20,https://open.spotify.com/track/0vdr90jBfgc0gCOVQMprHj
Floating in Space,Sound Adventures,Awakening,3:21,https://open.spotify.com/track/1ael3HXtnQp0PWJNdH3rFO
The Grand Halls,Ambient Realms,"Massive Ambient Music, Vol. 5",7:15,https://open.spotify.com/track/7ltquk4X9ifbYnroSZeEki
Epic Heroic Choral Adventure,Carlos Estella,Epic Heroic Orchestral,1:56,https://open.spotify.com/track/2xN6QUhlHpFqOKv9S2s5Lr
Forest History,Logan Epic Canto,Magic everywhere,1:58,https://open.spotify.com/track/4i8zuBTQd5H1mEbtym6ZbQ
Epic Inspiring,Andre Albrecht,Cinematic Music,2:29,https://open.spotify.com/track/1fGdzGuDDEHdSUa5AvfFYp
Travel,Epic Soundscapes,Just Dope Sounds,1:28,https://open.spotify.com/track/4cwDuW8VpTTsUEl3TtVd8r
Starscape,Erik Ekholm,Starscape,4:44,https://open.spotify.com/track/3IfpyM74r7P3NXtjyyzgat
Escaping Light,Epic North,Skygate,2:54,https://open.spotify.com/track/0ChW5w2GWSuxL9OX8a2jrw
Elevation,Gothic Storm,"Epic Emotional, Vol. 1: Empowering Classics",2:53,https://open.spotify.com/track/3mM45QNr8xRcbj0Q8SvI1U
Epic Inspiration,Celestial Aeon Project,Epic Inspiration,1:42,https://open.spotify.com/track/7pemsMIyP87IvR2mJUBlTb
Resting After an Epic Quest,Ambience Mastery,Cyberpunk City Night Ambience,5:31,https://open.spotify.com/track/6rgUoxrQ3YSt1Mp5Fl5Nkf
Epic Adventure,DensoMusic,Epic Cinematic Background Music,2:33,https://open.spotify.com/track/2kBbIBaE0d2DPOW5etkpSA
Epic Inspirational Cinematic,StereojamMusic,Epic Uplifting Music,2:27,https://open.spotify.com/track/0pK5Ya8sq8I9knieleQ4TG
Dark Glacial,Frostudio Chambersonic,Epic Gold,2:59,https://open.spotify.com/track/5DEok7dw2l6BOc39Pd2t7r
Epic and Uplifting,Celestial Aeon Project,Epic and Inspiring Music for Reels,1:44,https://open.spotify.com/track/0lQVPhN0E7prYBnypOvYds
Prophet,Elephant Music,Prophet,2:20,https://open.spotify.com/track/2lqVk2CMVyIV6nuOmSv3gD
Iron,Epic North,Dragon,2:49,https://open.spotify.com/track/7nmL8sGpQZZNrYNHybHtIv
Medieval Village,Michael Ghelfi,"RPG / D&D Ambiences and Atmospheres, Vol. 1, Pt. 2",5:29,https://open.spotify.com/track/1JYTnFZ5w6R3zKQCqHsyIx
Instrumental Atmosphere,Amelia System,New Age Ambient - Relaxing Electronic Music,4:56,https://open.spotify.com/track/5AoFBXRgN14044BNqi7uVx
Epic,Power Music Factory,"Action, Suspense and Horror",3:12,https://open.spotify.com/track/67Y3EYcx8A1udmY1wNBIvf
Gates of Worlds,Gothic Storm,Sweeping Fantasy Adventure,3:10,https://open.spotify.com/track/0PgevNJaXOc7rQ8J6Z11GC
Inspiring Epic Trailer,StereojamMusic,Epic Uplifting Music,2:30,https://open.spotify.com/track/5YE50w3PYoohZuzTISXYZI
Powerful Epic Trailer,Carlos Estella,Intense Battle Epic Music,2:12,https://open.spotify.com/track/3vdjmjXmOAdwKA2fmf7fw6
Sounds,Epic Soundscapes,Epic Soundscapes,2:16,https://open.spotify.com/track/2z0QzdaIWkXxCWpkwCnWB8
Ambient Cinematic Adventure,DS Productions,Ambient Cinematic Adventure,1:48,https://open.spotify.com/track/6z7z8Lqs42D90ET21mmSOm
Epically,StereojamMusic,Epic Uplifting Music,2:16,https://open.spotify.com/track/4pL0V2oA3q1Yq0tSUa3sJ7
The Gathering,Gothic Storm,Epic Emotional,2:27,https://open.spotify.com/track/0DBwtdZZK0unsAyk927awM
Be the Hero (Epic Background Music),Fearless Motivation Instrumentals,Be the Hero (Epic Background Music),4:14,https://open.spotify.com/track/2bJJ1y5eIKSABk1e2bl49x
Beautiful Ambient Cinematic Emotional,Romansenykmusic,Soft Cinematic Soundtracks,1:37,https://open.spotify.com/track/0fA7ULakndESrgGw7QYHY4
Epic,Bensound,Epic,2:58,https://open.spotify.com/track/211Jgc1OGxpofSZeBheZrO
Seeking Refuge in a Great Hall (DnD Ambience),Medieval ASMR,Seeking Refuge in a Great Hall (DnD Ambience),60:00,https://open.spotify.com/track/0eAyG4dSN3mqvxULePE2Ft
The Wonder Path - Orchestral,Gothic Storm,Epic Winter Wonderland (Orchestral Edition),2:08,https://open.spotify.com/track/1HGRCIluV4kKoeaH3EH9z0
Lost City,Ambient Realms,"Massive Ambient Music, Vol. 8",6:21,https://open.spotify.com/track/3yPEmzkTpM2jxSrXa0SSCU
Epic,AudioPizza,"Epic, Vol.1",2:58,https://open.spotify.com/track/12DjyZ5qk4g3sLbTySoXka
Heroica (No Vocals),Epic Score,Epic Orchestral Action (Inferno),3:07,https://open.spotify.com/track/24e4bBPeB6BVZe39PtYlnr
Ascent,Ambyr Marie,Celestial,2:34,https://open.spotify.com/track/4dETiMXAZKzjXQCrI3M3ih
Epicentre,Liquid Cinema,Aeterna: Epic Dramatic Trailers,3:12,https://open.spotify.com/track/20vlXvmVnfigjnvfLl6dru
Epic,Keith Merrill,Genesis,2:57,https://open.spotify.com/track/7pQT76NfFcG02BZBkPOaEb
Epic,makesound music,Epic Cinematic Inspirational,1:55,https://open.spotify.com/track/6eloDqn9H3boT7cBBdQAPh
Adventurers in a Medieval City,Ambience Mastery,Epic Fantasy Adventures (Orchestral Instrumentals),2:14,https://open.spotify.com/track/2bKCANE8sPEvIfaeDBGIpC
Epic Electronic,Mapa,Epic Electronic,2:20,https://open.spotify.com/track/6wEncr0groD2Tu2fePTTzP
Epic Heroic,RinkevichMusic,Dramatic Trailer Music,2:28,https://open.spotify.com/track/5Vpw3DPe8IcVmscCPmleEW
Motivational Epic Background,Background Music Lab,Epic Motivational Music,1:56,https://open.spotify.com/track/4JM4df7rWtDzPiInwnpDzD
Dramatic Orchestra Epic,331Music,Royalty Free Background Music,2:41,https://open.spotify.com/track/2dPY6zILp5LBRMCqZNA5AO
Epic Build,Steffen Thum,Contemporary Classical,2:58,https://open.spotify.com/track/5B6aRuxBep1gqWaw3RcgFB
Epic Space Music,Space Radiance,Space Radiance,2:15,https://open.spotify.com/track/6DeeWWb7e687kpho9GEoNs
Adventure Travels,Ambient Realms,"Massive Ambient Music, Vol. 4",6:37,https://open.spotify.com/track/3Ilfsd6duJY50XPp49l2Mo
Joy,Epic Soundscapes,Epic Soundscapes,2:07,https://open.spotify.com/track/2d0AL4S8AJc4eOZKqzNBsY
Epic,331Music,Royalty Free Background Music,3:14,https://open.spotify.com/track/5D8ypkzYkvkTnbNQsSTO8e
An Epic Empty City,Ambience Mastery,Post Apocalyptic City Ambience,5:08,https://open.spotify.com/track/5GEMaPBGWYVbSkjZlcvugd
Awakening,Sound Adventures,Awakening,3:24,https://open.spotify.com/track/31VflOAbDpAegVrz400gpe
Epic Motivational Trailer,AShamaluevMusic,Epic Trailer Music,3:24,https://open.spotify.com/track/5jOUQ6lHmJ8RV6m92VGQpa
Epic Dramatic Build Up,Phil Larson,Believe,2:24,https://open.spotify.com/track/1H15gR4MfFzi097uZxXYaK
Pirate Ship Ambience - Captain's Cabin,The Guild of Ambience,Pirate Ship Ambience - Captain's Cabin,60:00,https://open.spotify.com/track/3B2iTHmuy7zKNSzP2sbtVG
The Old Clock Tower,Ambient Realms,"Massive Ambient Music, Vol.3",8:57,https://open.spotify.com/track/3sliPE6BTamGLq6Mw6i2GX
A Historic Reckoning,Rubric,A Historic Reckoning,3:23,https://open.spotify.com/track/4APmqL7coOex76BBXYYeyv
Epic Action,Musway Studio,"Royalty Free Music, No. 5 (Corporate, Cinematic, Background)",2:50,https://open.spotify.com/track/6bGJXmgCyIE4VJlflxMcRW
Misty Swamp,Ambient Realms,"Massive Ambient Music, Vol.3",5:51,https://open.spotify.com/track/4so1EPwfIQB72HecU5dAmN
Dramatic Ambient,Ambient Sound Center,"Dramatic Ambient - Gothic Dark Fantasy Ambient, Sad & Somber Background",4:06,https://open.spotify.com/track/75OxPGrERexNVSqos3hoN5
Epic Inspiration,Ihor Vitsinskyy,The Epic,2:37,https://open.spotify.com/track/23avdLdmLCeD7t70cdgbua
An Epic Adventure,Narek Mirzaei,An Epic Adventure,1:41,https://open.spotify.com/track/15x2AM8MxLqjDBn2WY7ErG
Epic Electro,Carlos Estella,Epic,1:48,https://open.spotify.com/track/5aKP4Hmwl0WHFaSHnY5EuM
The Excitement of Adventure,Ambience Mastery,Epic Fantasy Adventures (Orchestral Instrumentals),1:45,https://open.spotify.com/track/35KGHTgp4Td25IeHyHRcEG
Floating Above,Soundcritters,Morrow Forge,3:42,https://open.spotify.com/track/5lcGqmiWFMcXvTxAonh52c
Epic Victory,Gothic Storm,Epic Electro Euphoria,2:05,https://open.spotify.com/track/6pyDVhfPWzjy9z9wTBSu97
Epic Cinematic Inspiring Trailer,Carlos Estella,"Carlos Estella, Vol. 5",2:15,https://open.spotify.com/track/1VJ0oCtlCYFVPDekYQni5i
Elysian,Sound Adventures,Let There Be Light: Emotional Uplifting Trailers,3:30,https://open.spotify.com/track/0eDfLopDElp8ctU9cu4xuI
Ethereal Cinematic Ambient,Rafael Krux,The Universe Dreams in Strings,3:27,https://open.spotify.com/track/3pBbfmxEHEOih4q0rfUv0H
Our Forefathers,Epic Score,Epic Action: Into the Universe,3:36,https://open.spotify.com/track/4HxjoWNvBRIGuHyXEisAHw
Inspiring Epic,ProLuxeStudio,Orchestral Music,2:43,https://open.spotify.com/track/5Gru8qYuiZ789lDbgIluun
Ancient Forest,Ambient Realms,"Massive Ambient Music, Vol. 4",3:12,https://open.spotify.com/track/6xXBElVjQZRT7VfMNeHxPT
Epic Action,Carlos Estella,Epic Action Music,1:55,https://open.spotify.com/track/4OBP2Xr9BJ2h9JwzHY4J9y
Epic Battle Music,Original Music for Relaxation and Film,Epic Battle Music,3:07,https://open.spotify.com/track/6U7Ku0LBGutEgZK3kthtkP
Piano Epic,Oleg Kashchenko,Epic Inspirational Music,2:00,https://open.spotify.com/track/6F0fxGy2ZH8RaskUxbGE2N
Raging Sea,Epic North,Masters of the Sea,3:47,https://open.spotify.com/track/3sljU57x3KzHeTf2F0RxDN
Epic,Carlos Estella,Epic,2:21,https://open.spotify.com/track/54YxRVfqUUsv34Vh2EGvGD
