track_name,artist_name,album_name,duration_minutes,spotify_url
"Reading Horror, Mystery, and Thriller Novels",Study Music Project,Study Music Playlist for Intense Studying,1:14,https://open.spotify.com/track/15qBHBurk6chB81dUEUwu9
Deep Suspence,Background Music Attention,"Gothic, Atmospheric, Dark Ambient",3:19,https://open.spotify.com/track/54mTvoP1xsKruVs3FiMsIW
Creepy Soundscapes,Background Music Attention,"Gothic, Atmospheric, Dark Ambient",4:45,https://open.spotify.com/track/6h9yPo4uEVgMAJ8HASVFVI
Dark Ambient Horror,Horror Music,Alien Abduction,1:07,https://open.spotify.com/track/4hEhhIgE31SAhMvuN7cZyH
"Dark Depths (ambient, suspense, exploration)",Tabletop Rpg Music,Tabletop RPG Music: Volume 4,2:56,https://open.spotify.com/track/4ckWNjA9acojSBFoddwVsD
Haunted by Whispers,Dead Melodies,The Foundations of Ruin,5:46,https://open.spotify.com/track/5wY6O31XN7CfvJ0uJm30Zn
Drowning Water (Instrumental),Port Sulphur Band,Drowning Water (Original Soundtrack),4:06,https://open.spotify.com/track/69ou51mZUJpmb7FleIk77f
"Suspense, Horror, Piano and Music Box - Soundtrack",Ted D'souza,"Suspense, Horror, Piano and Music Box (Soundtrack)",1:53,https://open.spotify.com/track/3kwsOTchiXEOUcPOADiMNa
Dark Nordic Dramæ,Alien Orchestra,Dark Nordic Dramæ,3:20,https://open.spotify.com/track/0dSZ2DtBAFuY6R1twXLfqY
Dark Forest,Ambient Realms,"Massive Ambient Music, Vol.1",3:13,https://open.spotify.com/track/5LYl1xi3941tugJr1GML1Y
October Atmosphere,Edward Eclipse,"Evil Background Songs - Spooky Scary Music, Dark Ambient Horror Story Background",6:22,https://open.spotify.com/track/0QXUTBLWSRlwyankLlPi6v
Ghosts of the Past,Gothic Storm,Enigma - Emotional Chamber Thrillers,2:18,https://open.spotify.com/track/6HFhYoZArqJmCrrU8pxXu4
Suspense,Andrey Avkhimovich,Doom Soundtrack Rebuild,2:53,https://open.spotify.com/track/4yciZP9tlWk348BrWKJlQB
