track_name,artist_name,album_name,duration_minutes,spotify_url
"Dark Dungeon (suspense, ambient, exploration)",Tabletop Rpg Music,Tabletop RPG Music: Volume 5,3:14,https://open.spotify.com/track/0esgwCqnlgEpYw44BNGUyE
"Blade Runner Ambience, Pt. 1",(LUX),Blade Runner Ambiences,8:20,https://open.spotify.com/track/4BMWuDFcwmmLQSFhCJpPuU
Aphotic,Apocryphos,Onyx,7:30,https://open.spotify.com/track/0KIlfpDidvLPD5kDdMfVU9
Mystery Background,Petar Milinkovic,"Mystery Music, Set 13",1:43,https://open.spotify.com/track/5RqBOeV9enFqfLwXUV0nIZ
The Crypt,Ambient Realms,"Massive Ambient Music, Vol. 2",3:00,https://open.spotify.com/track/2fSDq6j41lgcJN3UDrr7Ki
Swarm Ambiance,Samuel Laflamme,Outlast (Original Game Soundtrack),2:22,https://open.spotify.com/track/4vvPVIi5ZiCGlsh0URnUkg
Extinction,Andrew Buresh,The Last of Us - Vol. 2 (Video Game Soundtrack),1:55,https://open.spotify.com/track/0BJPGz7bF5NGCieKWfug96
Haunted Crypt,Ambient Realms,"Massive Ambient Music, Vol.1",2:58,https://open.spotify.com/track/6nlXozVgHrDOr25F4OwYJX
Ambient Suspenseful Background (Original Motion Picture Soundtrack),Acoustic Instrumental Vibes,Ambient Suspenseful Background (Original Motion Picture Soundtrack),2:06,https://open.spotify.com/track/1M6GOFvY9YviLMRlTUZm1V
Futuristic Abandoned City,Ambience Mastery,Post Apocalyptic City Ambience,5:27,https://open.spotify.com/track/5Bg3ZBtmxZ478Q63IGlIDf
Dark Ambient,Background Music Attention,"Gothic, Atmospheric, Dark Ambient",3:18,https://open.spotify.com/track/7k4XRuYWSKR9aNVbV9dCh4
Stars Seen From a Futuristic Balcony,Ambience Mastery,Epic Dark Sci-Fi Ambient Music,5:27,https://open.spotify.com/track/1JmG07o0tifo97YZb1jba1
Insect Wings,zYnthetic,SOUNDTRACK FOR THE APOCALYPSE,3:07,https://open.spotify.com/track/6aHFAgcB8maP1wRWU4xgCg
Dystopian Dream,Mondo Loops,Dystopian Dream,2:34,https://open.spotify.com/track/5Hu96bWYoUch7vOl74ppah
Survival,Sabled Sun,2147,4:28,https://open.spotify.com/track/3l8WNCyIzxvJT8JEkcJetm
