track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Spooky Background Sounds,Haunting Ambience,Ultimate Haunted House Horror FX Library,2025-09-19,1tg9kk8cpki83TqhA39QMM,https://open.spotify.com/track/1tg9kk8cpki83TqhA39QMM,eerie ominous haunting
Mystical Forest Ambience,Nature Sounds,180 Nature Sounds,2012-04-10,3mSLgh0wnz2uqjJieJisBM,https://open.spotify.com/track/3mSLgh0wnz2uqjJieJisBM,eerie ominous haunting
Whispers: Spooky Graveyard pt. 2,Halloween Effects Horror Library,"Creepy Halloween Atmospheres: Scary Horror Ambient for Spooky Night (Haunted Forest, Graveyard, Catacombs)",2021-10-14,5bxAnZkutWOgNWpDej5clk,https://open.spotify.com/track/5bxAnZkutWOgNWpDej5clk,eerie ominous haunting
"Ambience, Fantasy Dream Atmosphere, Emptiness, Electronic, Fantasy Ambiences",Sound Effects Library,Magical: Sound Effects,2012-05-15,5eO4UqB2fhvWaAN7VayNVW,https://open.spotify.com/track/5eO4UqB2fhvWaAN7VayNVW,eerie ominous haunting
Haunted Forest Ambience of Hell,Scary Halloween Night Ambient,Demonic Halloween Sound Effects of Gore,2025-10-17,40aC3xutZgEGxrMprUYUVH,https://open.spotify.com/track/40aC3xutZgEGxrMprUYUVH,eerie ominous haunting
Ominous Clouds,Network Music Ensemble,Creepy Music for Halloween: 25 Scary Tunes for Haunted Houses and Spooky Parties,2011-03-24,10yXhcSto7XgJXkbVS9yca,https://open.spotify.com/track/10yXhcSto7XgJXkbVS9yca,eerie ominous haunting
Halloween Effects: Dark Scary Forest,Scary Halloween Night Ambient,"Halloween Effects Horror: Old Stairs, Sound of Monsters, Scary Steps, Dark Castle Theme, Old Swing, Church Bells, Swamp, Horror Music Collection, Halloween Theme Songs 2021",2021-09-28,6Y3pokVo40R6xHJHUI8fEo,https://open.spotify.com/track/6Y3pokVo40R6xHJHUI8fEo,eerie ominous haunting
"Ambience, Fantasy Dream Atmosphere, Nightmare, Electronic, Fantasy Ambiences",Sound Effects Library,Magical: Sound Effects,2012-05-15,7HVKk92BN64Cx5SUgNaJRW,https://open.spotify.com/track/7HVKk92BN64Cx5SUgNaJRW,eerie ominous haunting
Scary Forest,Serge Quadrado,Dark Forest,2019-06-13,2Ezak9JlqRyPV08myn8ZBF,https://open.spotify.com/track/2Ezak9JlqRyPV08myn8ZBF,eerie ominous haunting
Creeping Crypts,Ambient Realms,"Massive Ambient Music, Vol. 8",2021-04-02,3IjjB2ruk3dP8BkMHzgH8J,https://open.spotify.com/track/3IjjB2ruk3dP8BkMHzgH8J,eerie ominous haunting
scary industrial music,Halloween Sounds Collective,Scary Graveyard Sounds,2023-02-07,0H64O5ANU8e78nr9Wh3tE8,https://open.spotify.com/track/0H64O5ANU8e78nr9Wh3tE8,eerie ominous haunting
Night Fog,Ambient Realms,"Massive Horror Ambience, Vol. 1",2018-10-11,1FyE0sV7hYnkURezMnaTHW,https://open.spotify.com/track/1FyE0sV7hYnkURezMnaTHW,eerie ominous haunting
