track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Ambient Piano,DS Productions,Ambient Piano,2020-06-24,0as5qJbcWkVOEQXVRMawFl,https://open.spotify.com/track/0as5qJbcWkVOEQXVRMawFl,atmospheric narrative evocative
Oneness Unveiled,Ambientalism,Blissful Serenades,2021-07-07,2Ov7Zi0msflEtFrcD4WQuh,https://open.spotify.com/track/2Ov7Zi0msflEtFrcD4WQuh,atmospheric narrative evocative
Biographical Stories,AXS Music,Strings For Storytelling,2017-12-19,3irwgU4ZAxdSaAPK9QAKFa,https://open.spotify.com/track/3irwgU4ZAxdSaAPK9QAKFa,atmospheric narrative evocative
Background Ambient Atmospheres,Maksym Tkhoryk,Chill Ambient,2022-06-07,7H3VqadkTZT1zqKGS9tj8b,https://open.spotify.com/track/7H3VqadkTZT1zqKGS9tj8b,atmospheric narrative evocative
Ambient Emotional Piano,DS Productions,Ambient Emotional Piano,2021-01-02,053kba2hsZW5OuCxSpP3XI,https://open.spotify.com/track/053kba2hsZW5OuCxSpP3XI,atmospheric narrative evocative
Gothic Style,Background Music Attention,"Gothic, Atmospheric, Dark Ambient",2020-01-13,7bdKDW2FlULw5lveXzESjp,https://open.spotify.com/track/7bdKDW2FlULw5lveXzESjp,atmospheric narrative evocative
Forgotten Story,Cosmograph,The Legend,2016-08-14,4S9CNCQtJlB6ovhFQhMfJa,https://open.spotify.com/track/4S9CNCQtJlB6ovhFQhMfJa,atmospheric narrative evocative
A Wandering Path,Guild of Lore,Storm Haven,2019-08-05,5m00wuZNgopHGPd4jnQvSa,https://open.spotify.com/track/5m00wuZNgopHGPd4jnQvSa,atmospheric narrative evocative
Dark Forest,Ambient Realms,"Massive Ambient Music, Vol.1",2015-03-16,5LYl1xi3941tugJr1GML1Y,https://open.spotify.com/track/5LYl1xi3941tugJr1GML1Y,atmospheric narrative evocative
Tranquil Moonlight Melodies,Ambientalism,Blissful Serenades,2021-07-07,26U7PPRoiOtLt2u61a1cgr,https://open.spotify.com/track/26U7PPRoiOtLt2u61a1cgr,atmospheric narrative evocative
The Essence,Peter Gundry,The Unspoken Tales,2017-03-07,3Zf43TZjbSGNesK77WpHsj,https://open.spotify.com/track/3Zf43TZjbSGNesK77WpHsj,atmospheric narrative evocative
Awakenings,Emancipator,Mountain of Memory,2020-04-03,4eqDDFgm5hi96wgpfUQDLd,https://open.spotify.com/track/4eqDDFgm5hi96wgpfUQDLd,atmospheric narrative evocative
Instrumental Atmosphere,Amelia System,New Age Ambient - Relaxing Electronic Music,2020-04-14,5AoFBXRgN14044BNqi7uVx,https://open.spotify.com/track/5AoFBXRgN14044BNqi7uVx,atmospheric narrative evocative
Cinematic Ambient Piano (bonus track),Dmitriy Sevostyanov,Inspiring Piano,2022-08-17,1Jdxraw1lSH7zq04N6SxS1,https://open.spotify.com/track/1Jdxraw1lSH7zq04N6SxS1,atmospheric narrative evocative
Emotional Ambient,AShamaluevMusic,Emotional Ambient,2019-07-18,3jgl9nSnstp1bIsdpvd8AS,https://open.spotify.com/track/3jgl9nSnstp1bIsdpvd8AS,atmospheric narrative evocative
Ambient Skies,Ian Livingstone,Spatial Elegance,2013-08-26,1Y4WsKipdrdJuVsP54ifxx,https://open.spotify.com/track/1Y4WsKipdrdJuVsP54ifxx,atmospheric narrative evocative
Ambient Cinematic Score,Romansenykmusic,Soft Cinematic Soundtracks,2020-03-19,5k8NwGYULYO9qGVWAzjFPu,https://open.spotify.com/track/5k8NwGYULYO9qGVWAzjFPu,atmospheric narrative evocative
Auditory,Binaural Landscapes,Drones,2019-04-01,6CE98IsifEhpDsO2fEFDur,https://open.spotify.com/track/6CE98IsifEhpDsO2fEFDur,atmospheric narrative evocative
Atmospheric Background,Space Radiance,Ambient Space Music,2019-11-03,7yvgHgfDy9kp9aeon8SdsW,https://open.spotify.com/track/7yvgHgfDy9kp9aeon8SdsW,atmospheric narrative evocative
Floating,The Unquiet Sky,The Engineers,2019-07-12,5nxTfBNI1orpsrPcf8mOQN,https://open.spotify.com/track/5nxTfBNI1orpsrPcf8mOQN,atmospheric narrative evocative
Dwelling,Adam Hurst,Dwelling,2007-01-01,21ebEMDYnD4alRKhwTSx9P,https://open.spotify.com/track/21ebEMDYnD4alRKhwTSx9P,atmospheric narrative evocative
Gleam Guiding the Gauntlet of Genius,Ambientalism,Blissful Serenades,2021-07-07,32mZ5fxoKRHbIqWMqfw6jS,https://open.spotify.com/track/32mZ5fxoKRHbIqWMqfw6jS,atmospheric narrative evocative
Industrial Landscapes,Olivier Deriviere,Vampyr,2018-06-04,7bUUH7VtXofh8ALTlLqScY,https://open.spotify.com/track/7bUUH7VtXofh8ALTlLqScY,atmospheric narrative evocative
Experimental Dreamy Ethereal Choir,Rafael Krux,Neoclassical Ambient Choral Works,2022-02-14,3wstjRIVhwHROGv7Avp1Hd,https://open.spotify.com/track/3wstjRIVhwHROGv7Avp1Hd,atmospheric narrative evocative
Experimental Dark Ambient Cellos,Rafael Krux,Experimental Dark Ambient Cellos,2022-08-10,761F82V78gykTirxID9OMJ,https://open.spotify.com/track/761F82V78gykTirxID9OMJ,atmospheric narrative evocative
Upbeat Ambient,Dmitro Khatskevych,Upbeat Ambient,2021-12-20,5E0YTsg8vmE2bdMsmJpcgB,https://open.spotify.com/track/5E0YTsg8vmE2bdMsmJpcgB,atmospheric narrative evocative
Landscapes,Arna Björnsdóttir,Landscapes,2022-02-25,4aWGTMzgThjpBFNvQly80L,https://open.spotify.com/track/4aWGTMzgThjpBFNvQly80L,atmospheric narrative evocative
Interlude,Otonomi,Interlude,2022-12-05,183BaoA1EBVA6UMQgS2HbY,https://open.spotify.com/track/183BaoA1EBVA6UMQgS2HbY,atmospheric narrative evocative
Light,Thomas J. Curran,Light,2020-11-23,4qVLj4OzZYsCOHSk0PTUfw,https://open.spotify.com/track/4qVLj4OzZYsCOHSk0PTUfw,atmospheric narrative evocative
Narrative Device of Choice,Writing Music Inspire,Retro Writer Vibes,2020-01-14,6JJlpNcKfUB5K9trLnFobw,https://open.spotify.com/track/6JJlpNcKfUB5K9trLnFobw,atmospheric narrative evocative
Essay,Warmth,Essay,2016-06-01,2Db7IagztXoVHcNmTBGNmu,https://open.spotify.com/track/2Db7IagztXoVHcNmTBGNmu,atmospheric narrative evocative
Evoke,Slow Meadow,Evoke,2016-04-15,7IhdTf28KS03l7I6McOStV,https://open.spotify.com/track/7IhdTf28KS03l7I6McOStV,atmospheric narrative evocative
Ambient Instrumental Theme,Ambient Sound Center,"Dramatic Ambient - Gothic Dark Fantasy Ambient, Sad & Somber Background",2019-06-11,6jX3ZxbLz7mHzY7GMVa6LG,https://open.spotify.com/track/6jX3ZxbLz7mHzY7GMVa6LG,atmospheric narrative evocative
Cinematic Ambient Piano,Dmitriy Sevostyanov,Inspiring Piano,2022-08-17,2bFrilsMXQgtORwD5nAks4,https://open.spotify.com/track/2bFrilsMXQgtORwD5nAks4,atmospheric narrative evocative
Ambient Cinematic Adventure,DS Productions,Ambient Cinematic Adventure,2020-06-24,6z7z8Lqs42D90ET21mmSOm,https://open.spotify.com/track/6z7z8Lqs42D90ET21mmSOm,atmospheric narrative evocative
Inspirational Piano Ambient,AShamaluevMusic,Inspirational Piano Ambient,2019-06-20,2R1LD6Yd6Cra8qC7fAqD0U,https://open.spotify.com/track/2R1LD6Yd6Cra8qC7fAqD0U,atmospheric narrative evocative
Ethereal,Peter Sandberg,Implode,2016-11-08,7eQdCOCMWce45Nx3wH186d,https://open.spotify.com/track/7eQdCOCMWce45Nx3wH186d,atmospheric narrative evocative
Instrumental Background Music for Writing,Writing Music Inspire,Writing Music Ambient,2019-12-06,5NWtkYVC4ItUxPCWEhiuyp,https://open.spotify.com/track/5NWtkYVC4ItUxPCWEhiuyp,atmospheric narrative evocative
Arisen,The Ambientalist,Arisen,2020-02-07,3NulNf78fHOFjHFVGFiSDb,https://open.spotify.com/track/3NulNf78fHOFjHFVGFiSDb,atmospheric narrative evocative
Ambient Lullabies,Celestial Cascade,Dreamscape's Melancholy,2019-11-18,2bSbQM35jxXmclTHe8DIby,https://open.spotify.com/track/2bSbQM35jxXmclTHe8DIby,atmospheric narrative evocative
Hildaland,Erland Cooper,Hether Blether,2020-05-29,5XcQNtE16c23BBieAyKvj0,https://open.spotify.com/track/5XcQNtE16c23BBieAyKvj0,atmospheric narrative evocative
short story one,Analog Heart,short stories,2020-10-13,3YmtmYTfKvCWcucaYpTdCC,https://open.spotify.com/track/3YmtmYTfKvCWcucaYpTdCC,atmospheric narrative evocative
Ambient,Peaceful Piano Keys,Dreamy Piano,2022-07-14,2q2Rdqs3Seh0dkZUtrPKcW,https://open.spotify.com/track/2q2Rdqs3Seh0dkZUtrPKcW,atmospheric narrative evocative
Environment,Alphaxone,Edge of Solitude,2018-06-12,7j2gdkHAlWzj7jvokpYZ7X,https://open.spotify.com/track/7j2gdkHAlWzj7jvokpYZ7X,atmospheric narrative evocative
Emotional Dramatic Background,DS Productions,Emotional Dramatic Background,2020-11-21,0ui7wPTK4LxepNGJZkHGDs,https://open.spotify.com/track/0ui7wPTK4LxepNGJZkHGDs,atmospheric narrative evocative
Isolation,Nox Arcana,Excelsior,2020-12-21,67UaNByfCaQohiPQS0A86I,https://open.spotify.com/track/67UaNByfCaQohiPQS0A86I,atmospheric narrative evocative
Unfold,Skúli Sverrisson,Epicycle II,2020-08-28,1qsLSdq4jj2q8XiyIfuZH4,https://open.spotify.com/track/1qsLSdq4jj2q8XiyIfuZH4,atmospheric narrative evocative
Seven Veils,Adam Hurst,View from Within,2011-12-02,0TudWz7D9SfntTYeZVLJz9,https://open.spotify.com/track/0TudWz7D9SfntTYeZVLJz9,atmospheric narrative evocative
Islandless Expanse,Max Corbacho,The Ocean Inside,2012-12-13,2U7KZkvgrci6Tp9QXKszkE,https://open.spotify.com/track/2U7KZkvgrci6Tp9QXKszkE,atmospheric narrative evocative
Solar,zakè,Orchestral Tape Studies,2019-06-21,3GYZJXSAt8ojUjsNSXkrTW,https://open.spotify.com/track/3GYZJXSAt8ojUjsNSXkrTW,atmospheric narrative evocative
Dark Nordic Dramæ,Alien Orchestra,Dark Nordic Dramæ,2021-03-25,0dSZ2DtBAFuY6R1twXLfqY,https://open.spotify.com/track/0dSZ2DtBAFuY6R1twXLfqY,atmospheric narrative evocative
Memory Loop,Imaginary Softwoods,Gold Fiction Loop Garden,2019-06-14,7CK5aIEiThVGrpKVM1dsTm,https://open.spotify.com/track/7CK5aIEiThVGrpKVM1dsTm,atmospheric narrative evocative
Ambient Instrumental Theme,Ambient Sound Center,"Dramatic Ambient - Gothic Dark Fantasy Ambient, Sad & Somber Background",2019-06-11,6jX3ZxbLz7mHzY7GMVa6LG,https://open.spotify.com/track/6jX3ZxbLz7mHzY7GMVa6LG,atmospheric narrative evocative
Inspirational Cinematic Ambient,AShamaluevMusic,Inspirational Cinematic Ambient,2018-07-16,0o07y13oIyB17Ipdp6KTVs,https://open.spotify.com/track/0o07y13oIyB17Ipdp6KTVs,atmospheric narrative evocative
Ambient Cinematic Piano,DS Productions,Ambient Cinematic Piano,2020-06-24,0kr4V1nVLhZbNTYHxu7aof,https://open.spotify.com/track/0kr4V1nVLhZbNTYHxu7aof,atmospheric narrative evocative
Ambient Inspiration,DensoMusic,Ambient Corporate Background,2021-03-21,3TusN0gYe1WDnsNm7d25rA,https://open.spotify.com/track/3TusN0gYe1WDnsNm7d25rA,atmospheric narrative evocative
Inspired Piano Ambient,makesound music,Cinematic Emotional Piano,2022-10-18,7hJY0xt1REN2ggKMQwjCvP,https://open.spotify.com/track/7hJY0xt1REN2ggKMQwjCvP,atmospheric narrative evocative
Inspiring Ambient,Dmitriy Sevostyanov,Inspiring Piano,2022-08-17,4q1GqVtnIngCMG149zduup,https://open.spotify.com/track/4q1GqVtnIngCMG149zduup,atmospheric narrative evocative
Ethereal,Imaginary Landscapes,Ethereal,2020-11-18,5Qtxy20ILkjBeOVSEYhS2C,https://open.spotify.com/track/5Qtxy20ILkjBeOVSEYhS2C,atmospheric narrative evocative
Photograph - Ambient Piano Instrumental,Cozy Koala,Photograph - Ambient Piano Instrumental,2022-09-23,3R8BhP8zHh6zqmbSOADf7G,https://open.spotify.com/track/3R8BhP8zHh6zqmbSOADf7G,atmospheric narrative evocative
Beautiful Ambient Cinematic Emotional,Romansenykmusic,Soft Cinematic Soundtracks,2020-03-19,0fA7ULakndESrgGw7QYHY4,https://open.spotify.com/track/0fA7ULakndESrgGw7QYHY4,atmospheric narrative evocative
Ambient Inspiring Piano,DS Productions,Ambient Inspiring Piano,2020-07-25,3vSkSMQqe5CzQZQLHtkbIE,https://open.spotify.com/track/3vSkSMQqe5CzQZQLHtkbIE,atmospheric narrative evocative
Epilogue,Olovson,Storytelling,2022-03-04,7j3WVoQA2Z8icsGdoEpf3D,https://open.spotify.com/track/7j3WVoQA2Z8icsGdoEpf3D,atmospheric narrative evocative
Synesthesia,The Ambientalist,Synesthesia,2022-01-21,6Agpf7qPwZaR9TwHvRew4D,https://open.spotify.com/track/6Agpf7qPwZaR9TwHvRew4D,atmospheric narrative evocative
